Tom Ford Perfumes mentioned,Url
Black Orchid,https://fragrancelovers.com/cdn/shop/products/TomFordBlackOrchidEDP_300x300.jpg?v=1665959202
Oud Wood,"https://cdn.saksfifthavenue.com/is/image/saks/0400019744346_NOCOLOR?wid=830&hei=1106&qlt=90&resMode=sharp2&op_usm=0.9,1.0,8,0"
Tobacco Vanille,"https://media.bergdorfgoodman.com/f_auto,q_auto/01/bg_210093_100000_m"
Tuscan Leather,https://image.s5a.com/is/image/saks/0482880077455?wid=900
Noir de Noir,https://n.nordstrommedia.com/id/sr3/1299f94b-1ef9-41b9-bf4c-d1ffcbee0a6e.jpeg?trim=color&w=350&h=536
Noir Extreme,https://n.nordstrommedia.com/id/sr3/23cc3ff7-3270-4ed2-bdcd-fc51d9fc1e25.jpeg?trim=color&w=350&h=536
Ombre Leather,"https://m.media-amazon.com/images/S/aplus-media/sota/20226c11-b024-4779-a728-02a9f0dc2805.__CR109,0,529,529_PT0_SX300_V1___.jpg"
Neroli Portofino,https://visionscents.com/cdn/shop/products/s1449149-main-zoom_300x300.jpg?v=1615936219
Costa Azzurra,https://i.ebayimg.com/images/g/2zoAAOSwyFdlclG~/s-l400.jpg
Beau de Jour,https://i.ebayimg.com/images/g/I~8AAOSwEndkwxis/s-l1600.png
