Username,Comment,Timestamp
@Dabayare,"I don't smoke or drink, a sporty nerd who like baking. So Black Orchid is my favourite and got everything I am familiar with from the vanilla, flowers etc.",2024-06-20 10:51:27
@kutmastaben,Plum Japonais!,2024-06-20 10:51:35
@roadtoentzugsklinik8039,You need to check Tom Fords Venetian Bergamotte !!!! Summer Killa,2024-06-20 10:51:31
@SgtG3,TF EXTREME IS AWESOME VERY UNDERATED ,2024-06-20 10:51:32
@darko140,Thx i wait for the List cheers from Vienna ,2024-06-20 10:51:28
@TheFragranceWardrobe,Well I guess I’m going to wear Noir Extreme a lot more now,2024-06-20 10:51:30
@ayazmalik5260,Noir Extreme. What a fragrance...wow. Just. It’s Demi in a bottle. Demi is a ‘kulfi-Girl’ ,2024-06-20 10:51:29
@Rozzjd,8:35 You don't smell this fragrance on a man because... it's discontinued ,2024-06-20 10:51:36
@Reclaim68,I know you can't include them all and it's subjective but Plum Japonais is lovely too!,2024-06-20 10:51:29
@ashrafkob,"My top three are : oud wood, noire extreme and Tuscan leather. Greetings from Palestine",2024-06-20 10:51:30
@liviosiebenhaar3801,Where is TF Fucking Fabulous?,2024-06-20 10:51:36
@lugscogs5976,I beg to differ because Ombre leather is one of their best.,2024-06-20 10:51:31
@TheDon.777,From itz Demi recommended am game. ,2024-06-20 10:51:31
@bradleystroup1457,"I have 2 bottles of for Men Extreme. Love that scent, it smells sooo amazing, you want to keep smelling it",2024-06-20 10:51:29
@qamarzaman3708,"Are you also use these kind fragrance,  women",2024-06-20 10:51:32
@sandeepchawla8832,It has Indian Kulfi accords(Indian dessert)that makes it sweet like I m gonna eat u ,2024-06-20 10:51:34
@jigilous,I wore Black Orchid and it made me smell like someone's Aunt.,2024-06-20 10:51:36
@justinscents81,I have Tom Ford Extreme Noir ,2024-06-20 10:51:31
@sibyl999,What should women wear from TF?  I don’t have any as yet..  Also are you aware of the Neroli Portofino Intense or whatever it’s called?  I heard longevity issues were assessed..,2024-06-20 10:51:29
@AlexGrocio,9:32 OMG!,2024-06-20 10:51:32
@doublemaster2020,beautiful ️,2024-06-20 10:51:31
@smokinscars1024,Tabaco oud is out of the game I guess,2024-06-20 10:51:31
@Alex-pd4ug,"Any Idea is Oud Wood would be fine on a younger guy, like 20-24?",2024-06-20 10:51:31
@sanjaofficial255,Black Orchid was the Fav Parfum of Michael Jackson too! He used it as room spray,2024-06-20 10:51:29
@habibtelolita9534,Im a woman and I wear black orchid I love it and it’s unisex,2024-06-20 10:51:31
@Plattenbruther,What do you guys think of La Yuqawam pour Homme? Does anybody happen to have tuscan leather and can give a comparison? Regards,2024-06-20 10:51:29
@CaliReviews,"wow no oud tobacco , im a bit surprised",2024-06-20 10:51:31
@Quan1993,Wow you’re beautiful ,2024-06-20 10:51:37
@alxs3475,Black orchid is sooo for women!,2024-06-20 10:51:32
@adamdar5121,Tobacco vanilla is a horrible fragrance,2024-06-20 10:51:38
@molonlavecy,"Demi....what about Ombre Leather????  How come not in the list?
:)",2024-06-20 10:51:31
@felixquinones8052,Damn she makes me want to buy all of them,2024-06-20 10:51:32
@micpay,Wondering about what makes a perfumer critic??? You go to college or idk just curious ??? Like I said idk but seems everybody has there own preferences????,2024-06-20 10:51:30
@JIM6001,Please check out <<Fucking fabulous>> from Tom Ford House.,2024-06-20 10:51:34
@30minutesLess,Noir extreme is my shit! I absolutely know when it is hypnotizing someone,2024-06-20 10:51:30
@ajsilva78,"Im using right now Black Orchid, is amazing...you feel a diferent kind of person with that",2024-06-20 10:51:22
@JuanCarlos-wx2tg,plum japonais is one of my favorites,2024-06-20 10:51:30
@mahdimahdishams7735,I have Tom Ford black orchid,2024-06-20 10:51:31
@Zeppelinpuppy,Girl please pay your electric bill I can barely see you. Thanks 4 the review though,2024-06-20 10:51:37
@antoniosmith197,The original Tom Ford for men smells horrible and this is coming from a guy,2024-06-20 10:51:38
@AnakinSkywalker-mm3gi,My favorite Tom Ford from the Signature line is Grey Vetiver and Tobacco Vanille from the Private Blend line. GV is great for work and TV for cold fall and winter nights.,2024-06-20 10:51:21
@minibus1351,Tuscan Leather is my number 1.,2024-06-20 10:51:30
@mikecapalungan,"I don’t like many sweet scents, but D&G The One, Versace Eros, Replica’s Jazz Club, and TF Noir extreme have been my favorite sweet scents",2024-06-20 10:51:23
@ajsilva78,"Tom 'love or hate"" Ford",2024-06-20 10:51:32
@jamescashion8608,"Costa Azzura's my go to, but I've gotten tons of compliments from women wearing Grey Vetiver",2024-06-20 10:51:31
@JohannesRunquist,Dazzling as ever… I really love Tom Ford Oud Wood. What's your take on Floris Honey Oud?,2024-06-20 10:51:22
@uropy,"Among all TF fragrance for men, which one do you recommend for a date on a summer night? I wear Tobacco Vanille for winter but feel it’s prob not best for wear in summer.",2024-06-20 10:51:28
@MrHarlekin7,Noir de Noir best Parfum on the earth,2024-06-20 10:51:32
@joeblack2214,Eh? What? Whats that you say? Speak up dear.,2024-06-20 10:51:38
@emancebo13,You have a clearly have a thing for suits...,2024-06-20 10:51:36
@Kaya6067g,Can you please do top 10 Tom Ford fragrances for women?,2024-06-20 10:51:29
@xebena,Can you please also include links and recommendations of where to purchase fragrances for Australian customers?,2024-06-20 10:51:28
@juxtluv5382,First ,2024-06-20 10:51:37
@dusthart8303,I got hooked on jazz club after your review bought two bottles I love it and grabbed a bottle of fireplace. What would be something as good or better then jazz club or is that even possible. Any house idc jazz club was best suggestion ever,2024-06-20 10:51:30
@diathekedriven,I got Grey Vetiver EDP and it's possibly one of the worst fragrances I own. It nearly makes me sick. Can't wait to get rid of that garbage.,2024-06-20 10:51:34
@mambamentality2663,"Tuscan leather best, end of story",2024-06-20 10:51:36
@ardenpowers7730,"Fantastic picks Demi !
Black Orchid really makes a statement for/on me.
Noir Extreme is so very, very nice for a night out or for intimate moments . . . 
Thanks as always for sharing . . .",2024-06-20 10:51:23
@BeachPleased,"Please do 
Top 5 Fragrances from Chanel for Men/ Women
Both from Main Line and Exclusive line",2024-06-20 10:51:29
@joshuabaca6257,"So, I need a suit.",2024-06-20 10:51:31
@rasbmenelik2,I have the grey vetiver edp but through no fault of my own...I get no direct compliments. I can smell it on me but no one else can..help please.,2024-06-20 10:51:30
@whynot7802,Neroli portifino hands down my fave.but expensive af,2024-06-20 10:51:31
@davidfreeburn8592,Paco rabbane  original green bottle,2024-06-20 10:51:34
@matthewsilton502,This is my favorite house!,2024-06-20 10:51:30
@lizasoberano6612,So what is for you black orchid or the noir extreme?,2024-06-20 10:51:29
@timschulz3714,"I've been looking for a new fragrance that smells like Prada l'homme (my favorite), now I'll have to give Tom Ford Neroli Portofino a try!",2024-06-20 10:51:28
@chrismccall797,I’m in love with Tom Ford Lost Cherry ,2024-06-20 10:51:28
@tariklewis2432,"Neroli portafino, soleil neige, lost cherry, tobacco Vanille, oud wood, nor extreme, velvet orchid...all my faves",2024-06-20 10:51:28
@jessemays7283,Tobacco vanille is amazing and i like lost cherry. I tested the neroli portofino and I wanted to be sick.,2024-06-20 10:51:30
@abdelkarimglt5578,"Demi for me the BEST TF fragrance is TOBACCO OUD️.
It describe: POWER, RICH, EXPENSIVE, STRONG CARACTERE, A PERSONALITY, A WEAPON",2024-06-20 10:51:30
@janiceburgess4679,I love Tom Ford fragrances... I own at least 10. Lol,2024-06-20 10:51:36
@StoicOutlaw17,Oud Wood is my favorite.,2024-06-20 10:51:30
@joesmellsgood,Why do women hate leather. I don't get it,2024-06-20 10:51:37
@throwthejavelin368,Can you make reviews on he house of Louis Vuitton?,2024-06-20 10:51:30
@uneditedreviewsbyjess6502,"TF Black Orchid is my signature fragrance for fall and winter... I CAN'T SEE ON A GUY, NOPE. It's too feminine... would be a turnoff",2024-06-20 10:51:36
@Ady-gt8xh,@demirawling which is better tom ford noir or noir extreme,2024-06-20 10:51:29
@mohamadfallah3700,"Please review
Santal musk",2024-06-20 10:51:31
@markchen5710,neroli portofino smells like bathroom cleaner to me. I hate it .,2024-06-20 10:51:36
@angelinajackson7046,What about Tom Ford white suede?,2024-06-20 10:51:30
@robertjr1254,Fucking fabulous didn't make the list.  Way better than feminine black orchid. Black orchid is listed as women's in his website.,2024-06-20 10:51:36
@kevkev3340,Tobacco vanille or Oud Wood? a hard one haha,2024-06-20 10:51:30
@worththewatch1517,The Aussie accent is too obvious ,2024-06-20 10:51:37
@andrewkroussoratsky7737,Thanks Demi! Agreed; the For Men doesn't get enough love. Why smell boyish when can smash out something masculine?,2024-06-20 10:51:28
@Heartbeatt101,Please do the same for women ️,2024-06-20 10:51:31
@milanheusschen,"Thinking about to get Tom Ford Noir Extreme for a long time, now I finally decided to purchase this beauty.",2024-06-20 10:51:21
@ShaiirahCattzYouh,"I feel like this one doesn’t get mentioned enough but I LOOOVE TF’s Vanille Fatale. For me it’s a perfect smokey, gourmand-y vanilla   the perfume is absolutely intoxicating and addictive ",2024-06-20 10:51:25
@MrBrownstone1,"Love a Tom Ford video, cheers Demi. FWIW my top TFs  - 
1. Ombre Leather
2. Plum Japonais
3. Tuscan Leather
4. Noir Extreme
5. Noir de Noir
6. Tobacco Vanille
7. Lost Cherry
8. Oud Wood",2024-06-20 10:51:28
@sebastianstalfors1787,"I swiched from the Neroli Portofino to the Mandarino Di Amalfi. I don't agree that the Mandarino Di Amalfi is for women, it's probably unisex, but most for men. But I do agree that Portofino is great.",2024-06-20 10:51:29
@julianheusschen,"Last week I bought Invictus for a friend of mine his birthday, I received a sample of Tom Ford's Beau de Jour. Immediately loved this scent when I smelled the sample. Yesterday I decided to order a 100ml of this fragrance.  Can't wait to wear it!",2024-06-20 10:51:19
@markgonzalez6016,Tom Ford Noir Anthracite anyone?,2024-06-20 10:51:32
@thattallassnikka,Top 10 Dior and Chanel,2024-06-20 10:51:31
@kaitrosem6352,From watching the video it seems like every one of these colognes is appropriate only if you have a suit on...,2024-06-20 10:51:31
@anonymousaviator277,Demi you are a gorgeous woman. Im literally stunned by you... ,2024-06-20 10:51:32
@musar.2014,Can you make a video of affordable niche fragrances,2024-06-20 10:51:30
@timmspencer4632,Tom Ford extreme is absolutely incredible. Really hard to find though. Bought a bottle last year last one in the store,2024-06-20 10:51:22
@GregorySonofGod777,"Black orchid suits me and has the best performance. 9.5/10 easily. Oud wood is nice, however the performance is not great and for the price, it's a bummer.",2024-06-20 10:51:30
@SUPERlol22a,what about mr. fabulous?,2024-06-20 10:51:31
@droyal1994,You said the noir extreme makes you want to eat me and I bought it instantly lmao good sales skills,2024-06-20 10:51:30
@kpower4362,"61/M Just picked this up after reading other reviews and trying it. Amazing from top to dry down. Lasts forever! Go light on the application as it has a strong presence. Thanks Demi, and keep up the great reviews.",2024-06-20 10:51:21
@IndoScents,Tom ford for the real gentlemen ️,2024-06-20 10:51:30
@budapest5579,"Tom Ford if I had to chose only three for life 
1 TF Fabulous 
2 TF Tobacco Vanille 
3 Black orchid",2024-06-20 10:51:31
@tatianacatherine5070,Neroli Portofino is on my wish list. I wish TF hadn't discontinued the Ombre Leather 16 scent (much better than the Ombre Leather or Tuscan Leather).,2024-06-20 10:51:31
@rutube007,"I'm yet to try Tom Ford. Have been wondering where to start. So thanks so much for this video, but I'll appreciate if you can stop spying on me Demi Rawling.",2024-06-20 10:51:32
@media4u617,I just subscribed  you explain the fragrance perfect,2024-06-20 10:51:28
